num,data,2,4,6,8,10,12,14,16,18,20,22,24,qtd,soma,media
260, 04/10/07,.,4,6,8,.,.,14,.,18,20,.,24,7,94, 13.43
261, 08/10/07,2,4,6,.,.,.,.,16,.,20,.,.,5,48, 9.60
262, 11/10/07,.,4,6,8,.,12,14,.,.,20,.,24,7,88, 12.57
263, 15/10/07,.,4,.,8,10,.,14,16,18,.,.,24,7,94, 13.43
264, 18/10/07,.,4,6,8,.,12,.,16,.,20,22,.,7,88, 12.57
265, 22/10/07,.,.,.,8,.,12,.,16,18,20,22,24,7,120, 17.14
266, 25/10/07,.,4,6,.,.,.,14,.,18,.,22,24,6,88, 14.67
267, 29/10/07,2,4,6,.,.,12,14,.,.,.,.,24,6,62, 10.33
268, 01/11/07,.,.,6,8,10,12,14,16,18,20,.,.,8,104, 13.00
269, 05/11/07,2,4,6,.,10,.,14,16,18,.,22,24,9,116, 12.89
270, 08/11/07,.,4,6,8,.,.,14,16,18,.,.,24,7,90, 12.86
271, 12/11/07,2,4,6,8,.,12,.,16,18,20,.,24,9,110, 12.22
272, 16/11/07,2,4,.,8,.,12,.,.,.,20,.,24,6,70, 11.67
273, 19/11/07,.,.,6,.,10,12,.,16,18,20,.,24,7,106, 15.14
274, 22/11/07,2,4,6,.,10,12,14,.,.,20,.,.,7,68, 9.71
275, 26/11/07,.,.,6,8,10,12,14,.,18,20,22,.,8,110, 13.75
276, 29/11/07,2,4,.,.,10,12,.,.,18,20,22,.,7,88, 12.57
277, 03/12/07,2,4,.,.,10,12,14,16,.,.,22,24,8,104, 13.00
278, 06/12/07,2,.,6,.,.,12,.,.,.,.,.,.,3,20, 6.67
279, 10/12/07,2,.,6,.,10,12,.,.,18,.,22,.,6,70, 11.67
280, 13/12/07,.,4,6,.,10,.,.,16,.,20,.,24,6,80, 13.33
281, 17/12/07,2,4,.,8,10,12,14,.,.,.,.,.,6,50, 8.33
282, 20/12/07,2,4,.,8,.,12,.,16,.,20,22,.,7,84, 12.00
283, 22/12/07,2,4,6,8,10,12,.,.,.,20,22,24,9,108, 12.00
284, 27/12/07,.,.,6,.,.,12,.,.,.,.,22,.,3,40, 13.33
285, 29/12/07,.,4,.,8,10,12,14,16,.,.,22,.,7,86, 12.29
286, 03/01/08,2,4,.,.,10,12,.,.,.,.,.,24,5,52, 10.40
287, 07/01/08,2,.,6,.,10,12,.,16,18,.,22,.,7,86, 12.29
288, 10/01/08,2,4,6,.,10,12,14,.,18,.,.,24,8,90, 11.25
289, 14/01/08,2,4,6,8,10,12,14,.,.,.,22,24,9,102, 11.33
290, 17/01/08,2,.,6,.,.,12,14,.,.,20,22,.,6,76, 12.67
291, 21/01/08,2,.,.,8,10,12,14,.,.,20,.,24,7,90, 12.86
292, 24/01/08,2,.,.,8,.,12,.,16,.,.,22,24,6,84, 14.00
293, 28/01/08,2,.,6,.,.,12,14,.,18,.,22,24,7,98, 14.00
294, 31/01/08,2,4,.,8,.,12,.,16,.,20,.,24,7,86, 12.29
295, 07/02/08,2,4,6,.,10,.,.,16,18,.,.,24,7,80, 11.43
296, 11/02/08,2,.,6,8,.,12,14,16,18,.,22,.,8,98, 12.25
297, 14/02/08,.,4,.,8,10,12,14,16,.,.,22,24,8,110, 13.75
298, 18/02/08,.,4,6,8,.,12,14,16,.,.,22,24,8,106, 13.25
299, 21/02/08,.,.,6,8,10,.,.,.,18,20,22,24,7,108, 15.43
300, 25/02/08,.,4,.,8,.,12,.,.,.,20,22,.,5,66, 13.20
301, 28/02/08,2,.,.,8,.,12,14,.,18,20,22,.,7,96, 13.71
302, 03/03/08,2,4,6,.,10,12,14,16,18,20,22,.,10,124, 12.40
303, 06/03/08,2,4,6,8,.,12,.,16,18,20,22,24,10,132, 13.20
304, 10/03/08,.,4,.,.,.,12,14,16,18,20,22,.,7,106, 15.14
305, 13/03/08,2,4,.,8,10,12,.,.,18,20,22,24,9,120, 13.33
306, 17/03/08,2,4,.,8,.,12,14,16,18,20,.,.,8,94, 11.75
307, 20/03/08,.,4,6,.,10,12,14,.,.,20,.,24,7,90, 12.86
308, 24/03/08,2,4,.,.,.,12,.,16,18,.,22,24,7,98, 14.00
309, 27/03/08,2,4,.,8,10,.,14,16,.,20,22,24,9,120, 13.33
310, 31/03/08,2,.,.,.,10,.,14,16,18,.,.,24,6,84, 14.00
311, 03/04/08,2,4,.,.,10,12,14,16,.,20,.,24,8,102, 12.75
312, 07/04/08,2,.,6,8,10,12,.,16,18,.,22,.,8,94, 11.75
313, 10/04/08,2,.,6,.,10,12,14,16,18,.,.,.,7,78, 11.14
314, 14/04/08,2,.,6,8,.,12,14,.,.,20,22,.,7,84, 12.00
315, 17/04/08,2,.,6,8,.,.,14,16,.,20,.,24,7,90, 12.86
316, 22/04/08,.,4,6,8,10,12,14,.,18,.,.,24,8,96, 12.00
317, 24/04/08,2,4,.,8,.,.,14,16,18,.,22,24,8,108, 13.50
318, 28/04/08,.,4,6,.,.,12,14,16,18,.,.,.,6,70, 11.67
319, 02/05/08,.,4,6,8,10,12,14,16,.,20,.,24,9,114, 12.67
320, 05/05/08,.,.,6,.,.,12,14,.,18,.,22,.,5,72, 14.40
321, 08/05/08,2,4,.,.,10,12,14,16,18,20,.,24,9,120, 13.33
322, 12/05/08,2,.,.,.,.,12,.,16,18,20,.,24,6,92, 15.33
323, 15/05/08,2,4,6,.,10,.,14,.,.,20,.,.,6,56, 9.33
324, 19/05/08,2,4,6,8,10,12,.,16,.,20,.,24,9,102, 11.33
325, 23/05/08,2,4,6,.,10,.,14,.,.,20,22,24,8,102, 12.75
326, 26/05/08,2,4,6,8,10,12,.,.,18,.,.,24,8,84, 10.50
327, 29/05/08,2,4,.,8,.,12,14,16,18,.,.,.,7,74, 10.57
328, 02/06/08,2,4,.,.,.,12,.,.,18,.,22,24,6,82, 13.67
